Subject_ID,Loc_Plot_State1,Loc_Plot_City1,Year_Exposure,Plot_Target1,Attack_Preparation,Changing_Target,Anticp_Fatals_Targ,Internet_Use_Plot,Extent_Plot,Violent,Primary_Event_Mass_Casualty_Incident,Primary_Event_Mass_Casualty_Incident_Type,Primary_Event_Mass_Casualty_Incident_Killed,Foreign_Fighter,Criminal_Severity,Criminal_Charges,Indict_Arrest,Current_Status,Group_Membership,Actively_Recruited,Recruiter1,Actively_Connect,Group_Competition,Role_Group,Length_Group,Clique,Internet_Radicalization,Media_Radicalization,Social_Media,Social_Media_Frequency,Social_Media_Platform1,Social_Media_Activities1,Radicalization_Islamist,Radicalization_Far_Right,Radicalization_Far_Left,Radicalization_Single_Issue,Ideological_Sub_Category1,Loc_Habitation_State1,Loc_Habitation_City1,External_Rad,Rad_duration,Radical_Behaviors,Radical_Beliefs,Event_Influence1,Radicalization_Place,Broad_Ethnicity,Age,Marital_Status,Children,Gender,Religious_Background,Convert,Reawakening,Citizenship,Residency_Status,Nativity,Time_US_Months,Immigrant_Generation,Immigrant_Source,Education,Student,Employment_Status,Work_History,Military,Military_Status_Arrest,Foreign_Military,Social_Stratum_Childhood,Social_Stratum_Adulthood,Abuse_Child,Abuse_Adult,Abuse_Type1,Psychological,Alcohol_Drug,Radical_Friend,Radical_Family,Radical_Signif_Other,Previous_Criminal_Activity,Previous_Criminal_Activity_Type1,Previous_Criminal_Activity_Age,Gang,Gang_Age_Joined,Trauma,Other_Ideologies,Angry_US,Group_Grievance
10116,Florida,Palm Coast,2020,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,3,1,2,1,0,0,-88,0,-88,-88,-88,0,1,0,1,-99,-99,-99,0,0,1,0,10,Florida,Bunnell,0,-99,9,1,13,0,2,42,-99,-99,1,-99,0,0,United States of America,1,United States of America,504,0,-88,-99,0,3,1,0,-88,0,-99,1,0,0,-88,0,0,0,0,0,0,-88,-88,0,-88,0,0,0,0
10117,Colorado,Pagosa Springs,2020,3,1,0,1,-99,3,1,1,0,-88,0,5,-88,-88,2,0,0,-88,0,-88,-88,-88,0,-99,1,-99,-99,-99,-99,0,0,1,0,4,Colorado,Pagosa Springs,0,-99,1,1,0,0,3,44,-99,-99,2,-99,0,0,United States of America,1,United States of America,528,0,-88,-99,0,4,1,0,-88,0,-99,1,0,0,-88,0,1,1,0,0,2,16,-99,0,-88,0,0,0,0
10118,Washington,Bellingham,2020,19,1,0,-99,-99,4,1,1,0,-88,0,9,2,4,4,0,0,-88,0,-88,-88,-88,1,2,0,0,-88,-88,-88,0,0,1,0,6,Washington,Port Townsend,0,1,9,1,0,0,3,23,1,0,1,11,0,0,United States of America,1,United States of America,276,0,-88,4,1,1,4,0,-88,0,2,2,0,0,-88,1,0,1,0,0,0,-88,-88,0,-88,1,0,0,0
10119,Washington,Bellingham,2020,19,1,0,-99,-99,4,1,1,0,-88,0,9,2,4,4,0,0,-88,0,-88,-88,-88,1,2,0,0,-88,-88,-88,0,0,1,0,6,Washington,Bellingham,0,1,9,1,0,0,3,27,1,0,1,-99,0,0,United States of America,1,United States of America,324,0,-88,5,0,1,4,0,-88,0,2,2,0,0,-88,0,0,1,0,0,0,-88,-88,0,-88,0,0,0,0
10126,District of Columbia,Washington,2021,2,1,0,0,1,5,1,0,-88,-88,0,10,2,4,4,3,0,-88,1,0,2,38,0,2,1,1,-99,1,1,0,1,0,0,4,Iowa,Des Moines,0,2,9,5,11,0,3,41,2,2,2,-99,0,-99,United States of America,1,United States of America,492,0,-88,3,0,1,4,0,-88,0,1,2,1,0,1,1,1,-99,1,0,3,13,-99,0,-88,2,0,1,0
10127,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,2,4,4,3,-99,-99,-99,0,3,11,0,1,1,2,-99,1,1,0,1,0,0,4,Arizona,Phoenix,0,2,9,5,12,0,3,32,1,0,2,15,0,-99,United States of America,1,United States of America,371,0,-88,6,0,4,1,1,0,0,2,2,0,0,-88,2,1,1,-99,0,0,-88,-88,0,-88,0,0,1,0
10128,District of Columbia,Washington,2021,2,1,0,-99,1,5,1,1,0,-88,0,8,2,4,4,3,-99,-99,-99,0,2,-99,0,1,-99,2,-99,1,3,0,1,0,0,4,North Carolina,Hayesville,0,2,-99,5,13,0,3,53,3,2,2,-99,0,-99,United States of America,1,United States of America,636,0,-88,5,0,4,4,0,-88,0,2,2,0,0,-88,1,1,-99,0,0,3,9,5,0,-88,2,0,1,0
10129,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,4,4,3,-99,-99,-99,0,1,-99,0,1,-99,2,-99,1,2,0,1,0,0,4,California,Arbuckle,0,-99,9,3,13,0,3,53,1,1,1,-99,0,-99,United States of America,1,United States of America,636,0,-88,4,0,1,4,0,-88,0,2,3,0,0,-88,0,1,-99,-99,0,1,16,-99,0,-88,0,0,1,0
10130,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,4,4,3,-99,-99,-99,0,2,-99,0,2,-99,1,-99,1,2,0,1,0,0,4,New York,New York,0,3,9,4,13,0,3,35,1,1,2,-99,0,-99,United States of America,1,United States of America,420,0,-88,4,0,1,-99,0,-88,0,2,1,0,0,-88,1,1,-99,-99,0,0,-88,-88,0,-88,0,0,1,0
10131,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,4,3,3,-99,-99,-99,0,2,-99,1,1,-99,2,-99,1,3,0,1,0,0,4,Illinois,Quincy,0,-99,9,3,13,0,3,50,2,2,2,-99,0,-99,United States of America,1,United States of America,600,0,-88,-99,0,1,4,0,-88,0,-99,2,0,0,-88,0,1,-99,-99,2,2,13,4,0,-88,0,0,1,0
10132,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,4,3,3,-99,-99,-99,0,2,-99,1,1,-99,1,-99,1,-99,0,1,0,0,4,Illinois,Quincy,0,-99,9,3,13,0,3,46,2,2,1,-99,0,-99,United States of America,1,United States of America,552,0,-88,5,0,1,4,0,-88,0,-99,2,0,0,-88,0,0,-99,-99,2,0,-88,-88,0,-88,0,0,1,0
10133,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,4,4,3,-99,-99,1,0,1,36,0,1,0,1,-99,1,1,0,1,0,0,1,Wisconsin,Eau Claire,0,2,6,4,13,0,3,52,3,2,2,-99,0,-99,United States of America,1,United States of America,624,0,-88,3,0,1,4,1,0,0,-99,2,0,0,-88,2,1,-99,-99,-99,1,13,-99,0,-88,0,0,1,0
10134,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,4,4,3,-99,-99,-99,0,2,-99,0,1,-99,2,-99,19,5,0,1,0,0,4,New York,Brooklyn,0,-99,9,4,13,0,3,43,2,3,2,-99,0,-99,United States of America,1,United States of America,516,0,-88,4,0,1,4,0,-88,0,1,2,0,0,-88,0,1,-99,-99,-99,1,13,3,0,-88,2,0,1,0
10135,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,4,3,3,-99,-99,-99,0,2,-99,0,1,-99,2,-99,1,2,0,1,0,0,4,Montana,Dillon,0,-99,9,4,13,0,3,52,2,2,2,-99,0,-99,United States of America,1,United States of America,624,0,-88,-99,0,1,4,0,-88,0,-99,2,0,0,-88,0,0,-99,-99,-99,0,-88,-88,0,-88,0,0,1,0
10136,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,4,3,3,-99,-99,-99,0,1,-99,0,1,-99,-99,-99,-99,-99,0,1,0,0,4,Ohio,Willoughby,0,-99,9,5,13,0,3,49,3,1,1,-99,0,-99,United States of America,1,United States of America,588,0,-88,9,0,1,4,0,-88,0,2,3,0,0,-88,0,0,-99,-99,-99,0,-88,-88,0,-88,0,0,1,0
10137,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,4,3,3,-99,-99,-99,0,1,-99,0,1,-99,2,-99,2,2,0,1,0,0,4,New Jersey,Haddonfield,0,-99,9,5,13,0,3,32,2,1,2,-99,0,-99,United States of America,1,United States of America,384,0,-88,5,0,1,4,0,-88,0,2,2,0,0,-88,0,0,-99,-99,-99,0,-88,-88,0,-88,0,0,1,0
10138,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,4,4,3,-99,-99,-99,0,2,-99,0,1,-99,-99,-99,-99,-99,0,1,0,0,4,California,Beaumont,0,-99,9,5,13,0,3,44,2,2,2,-99,0,-99,United States of America,1,United States of America,528,0,-88,5,0,1,4,0,-88,0,2,3,0,0,-88,0,0,-99,-99,-99,0,-88,-88,0,-88,1,0,1,0
10139,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,4,4,3,-99,-99,-99,0,2,-99,0,1,-99,2,-99,-99,2,0,1,0,0,1,Virginia,Hudgins,0,2,9,3,13,0,3,58,3,2,2,-99,0,-99,United States of America,1,United States of America,696,0,-88,3,0,4,3,0,-88,0,-99,1,0,0,-88,0,0,2,0,-99,3,19,4,0,-88,1,0,1,0
10140,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,4,4,3,-99,-99,-99,0,2,-99,0,1,-99,2,-99,1,2,0,1,0,0,3,Pennsylvania,Bridgeville,0,-99,9,4,13,0,3,51,3,1,2,-99,0,-99,United States of America,1,United States of America,612,0,-88,5,0,1,4,0,-88,0,2,3,0,0,-88,0,1,-99,-99,-99,3,6,4,0,-88,0,0,1,0
10141,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,4,4,3,-99,-99,-99,0,1,-99,0,1,-99,-99,-99,-99,-99,0,1,0,0,4,Massachusetts,North Adams,0,1,9,4,13,0,3,33,2,1,2,11,0,-99,United States of America,1,United States of America,396,0,-88,4,0,1,4,0,-88,0,2,2,0,0,-88,0,0,-99,-99,-99,0,-88,-88,0,-88,0,0,1,0
10142,District of Columbia,Washington,2021,2,0,0,0,-99,5,1,0,-88,-88,0,10,2,4,4,3,-99,-99,-99,0,1,-99,0,1,1,2,3,1,1,0,1,0,0,4,Illinois,Marselies,0,-99,-99,4,13,0,3,27,3,3,2,-99,0,-99,United States of America,1,United States of America,324,0,-88,3,0,2,4,0,-88,0,-99,2,2,0,abused by stepfather,1,0,-99,-99,-99,3,19,-99,0,-88,2,0,1,0
10143,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,2,4,7,3,-99,-99,-99,0,2,-99,1,1,1,1,-99,1,1,0,1,0,0,4,Pennsylvania,Sharon,0,-99,9,3,13,0,3,36,1,0,2,11,0,0,United States of America,1,United States of America,432,0,-88,5,0,1,4,0,-88,0,2,2,0,0,-88,1,0,0,1,0,0,-88,-88,0,-88,0,0,1,0
10144,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,4,4,3,-99,-99,-99,0,2,-99,0,1,-99,2,-99,1,1,0,1,0,0,4,Pennsylvania,Lancaster,0,-99,-99,2,13,0,3,40,3,1,1,-99,0,-99,United States of America,1,United States of America,480,0,-88,5,0,1,4,0,-88,0,-99,2,0,0,-88,0,0,-99,-99,-99,-99,-99,-99,0,-88,0,0,1,0
10145,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,2,4,4,3,0,-88,-99,0,2,-99,1,1,-99,2,-99,1,1,0,1,0,0,4,Tennessee,Memphis,0,-99,1,3,13,0,3,36,2,2,2,11,0,0,United States of America,1,United States of America,432,0,-88,3,0,2,4,0,-88,0,2,2,0,0,-88,0,1,0,0,1,3,13,2,0,-88,0,0,1,0
10146,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,2,4,4,3,0,-88,-99,0,2,-99,0,1,0,1,3,3,1,0,1,0,0,4,California,Ventura,0,-99,9,5,13,0,3,32,3,1,2,-99,0,-99,United States of America,1,United States of America,384,0,-88,5,0,2,3,0,-88,0,2,2,0,0,-88,0,1,2,0,0,0,-88,-88,0,-88,0,0,1,0
